id,category
C0119,subject.Science.Physics
C0120,subject.Geography.African_Geography.African_Countries
C0121,subject.Geography.Central_and_South_American_Geography.Central_and_South_American_Countries
C0122,subject.Geography.European_Geography.European_Countries
C0123,subject.Geography.Geography_of_Asia.Asian_Countries
C0124,subject.Geography.Geography_of_the_Middle_East.Middle_Eastern_Countries
C0125,subject.History.British_History.British_History_15001750
C0126,subject.History.British_History.British_History_1500_and_before_including_Roman_Britain
C0127,subject.History.British_History.British_History_17501900
C0128,subject.History.British_History.British_History_Post_1900
C0129,subject.Science.Biology.Birds
C0130,subject.Science.Biology.Dinosaurs
C0131,subject.Science.Biology.Evolution_and_reproduction
C0132,subject.Science.Biology.General_Biology
C0133,subject.Science.Biology.Health_and_medicine
C0134,subject.Science.Biology.Insects_Reptiles_and_Fish
C0135,subject.Science.Biology.Mammals
C0136,subject.Science.Biology.Organisms
C0137,subject.Science.Biology.Plants
C0138,subject.Science.Chemistry.Chemical_compounds
C0139,subject.Science.Chemistry.Chemical_elements
C0140,subject.Science.Chemistry.General_Chemistry
C0141,subject.Science.Chemistry.Materials_science
C0142,subject.Science.Physics.Electricity_and_Electronics
C0143,subject.Science.Physics.General_Physics
C0144,subject.Science.Physics.Space_Astronomy
C0145,subject.Science.Physics.Space_transport
C0146,subject.Science.Physics.The_Planets
